------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
30          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00 -6.354122360450852e-03 -2.276626484469566e-02  9.197229655599796e-01  1.559455301971172e+01  5.200000000000000e+00        1
 4.034485504166623e+00  5.840544024733083e-02  8.513991971859754e-02  6.884632457378098e-01  1.546573589936524e+01  5.228872459292406e+00        2
 8.068971008333248e+00  9.059990006685259e-02  2.676451785486502e-02  3.327984427827318e-01  1.468679325172515e+01  5.321399794616230e+00        3
 1.210345651249987e+01  1.052732184620034e-01 -1.432788020990968e-01  2.687936611906930e-01  1.332989183308874e+01  5.458157445900955e+00        4
 1.613794201666650e+01  1.284540024476275e-01 -3.059852593701186e-01  4.405676608200282e-01  1.164257604468851e+01  5.602081236062183e+00        5
 2.017242752083312e+01  1.673177997753131e-01 -3.631348418083724e-01  4.122919097867364e-01  9.937503990765316e+00  5.714980702822070e+00        6
 2.420691302499975e+01  1.865166169228083e-01 -4.208535518302310e-01  1.966355307421899e-01  8.452436799588309e+00  5.763634441205988e+00        7
 2.824139852916637e+01  1.950099491031388e-01 -4.256835745451342e-01  1.387898678106606e-01  7.302009811325941e+00  5.712240067423387e+00        8
 3.227588403333300e+01  2.060623903450109e-01 -3.670393353170497e-01  1.136029112198895e-01  6.232163530540522e+00  5.535822455253038e+00        9
 3.631036953749962e+01  2.110086492566095e-01 -3.210637210180239e-01  3.647669864902384e-02  5.232347061568019e+00  5.290440967412174e+00       10
 4.034485504166624e+01  2.111994075301790e-01 -2.853292043966245e-01 -7.193397060870196e-02  4.348290843859297e+00  5.034634530157462e+00       11
 4.437934054583287e+01  2.008781828277588e-01 -2.543189675902849e-01 -3.350724614497972e-01  3.611526803510452e+00  4.816724453170542e+00       12
 4.841382604999949e+01  1.640113844526865e-01 -2.237046422751180e-01 -7.737054832190335e-01  2.982196267746212e+00  4.623246071925154e+00       13
 5.244831155416612e+01  9.192046495854468e-02 -1.950929671543986e-01 -1.209200702465205e+00  2.423314942820789e+00  4.432067145696701e+00       14
 5.648279705833274e+01 -6.267844022428935e-03 -1.727466191402988e-01 -1.483852898359109e+00  1.926084150730894e+00  4.245493887787962e+00       15
 6.051728256249937e+01 -1.170273447869574e-01 -1.566479126436774e-01 -1.708002897773867e+00  1.470388058409188e+00  4.066151755401537e+00       16
 6.455176806666599e+01 -2.467704580579494e-01 -1.474224293637138e-01 -2.139368883337956e+00  1.056807329527885e+00  3.896090188728452e+00       17
 6.858625357083261e+01 -4.182448983644089e-01 -1.432838775830554e-01 -2.669113578750215e+00  6.936350777105834e-01  3.735260650903218e+00       18
 7.262073907499924e+01 -6.225260787316976e-01 -1.439249387098204e-01 -3.041874257902862e+00  3.553576834632929e-01  3.579259262926377e+00       19
 7.665522457916586e+01 -8.464311732314979e-01 -1.480923444283102e-01 -3.245468396121866e+00  1.769432823394093e-02  3.424549957555965e+00       20
 8.068971008333249e+01 -1.079341376667125e+00 -1.544348742508441e-01 -3.419559204666420e+00 -3.586171333749783e-01  3.267972516112347e+00       21
 8.472419558749912e+01 -1.327722230821473e+00 -1.618601955106437e-01 -3.689599038141186e+00 -8.343370607898857e-01  3.111922940227036e+00       22
 8.875868109166574e+01 -1.598588977009780e+00 -1.692514205989969e-01 -3.992508593935057e+00 -1.372727584232884e+00  2.957081002187337e+00       23
 9.279316659583237e+01 -1.889532744712781e+00 -1.751243835971557e-01 -4.243657142164844e+00 -1.848358576070948e+00  2.799898442893979e+00       24
 9.682765209999897e+01 -2.195677423144688e+00 -1.804626889548939e-01 -4.455315034564840e+00 -2.129136635838423e+00  2.636374175786019e+00       25
 1.008621376041656e+02 -2.516343132108322e+00 -1.866016208720010e-01 -4.701653193073690e+00 -2.170883864782632e+00  2.463880719406764e+00       26
 1.048966231083322e+02 -2.857068909954477e+00 -1.923031571709380e-01 -4.995463420015778e+00 -2.106522918718241e+00  2.283371637923572e+00       27
 1.089311086124989e+02 -3.218963835439031e+00 -1.964460248515114e-01 -5.278912288975937e+00 -1.942890189172542e+00  2.095427087539425e+00       28
 1.129655941166655e+02 -3.599447363702768e+00 -1.995472309583352e-01 -5.545502342263445e+00 -1.657229009752556e+00  1.901104594565819e+00       29
 1.170000796208321e+02 -3.998718787548577e+00 -5.907701779748532e-02 -5.679553235215126e+00 -1.242387706272970e+00  5.000000000000002e-01       30
